Primary key,document_id,pdf_url,original_pdf_link,experiment,question_short_name,answer,quote_1,quote_2,quote_3,quote_4,quote_5,absence_of_evidence,page_num_1,page_num_2,page_num_3,page_num_4,page_num_5,batch,classification_2,classification_1,Adherence test or train group,Prompt 1 result,Results from Prompt 1,Explicitly discusses adherence,# important quotes not from text,Are quotes enough?,Gold standard is just the quote?,Results from Prompt 2,Prompt 2 result,Collected for,explanation,notes,no_answer,direct_answer,split,need_figures,user,What analysis is the final n for?,What analysis is the final n for? quote_1,Thoughts on alternate answers,need outcome to define answer?,Study has multiple final ns,instructions_link,quote_6,quote_7,quote_8,quote_9,participant_flow_figures,"Flow diagram show clean split to arms, then same stages for each arm, and experiments are listed separately?",experiments_count,arms_count,CONSORT compliance of flow diagram,CONSORT compliance notes,done (EFD),EFD notes
143,miguel-kremer-2004.pdf,https://github.com/brachbach/host-files/raw/main/miguel-kremer-2004.pdf,https://cega.berkeley.edu/assets/cega_research_projects/1/Identifying-Impacts-on-Education-and-Health-in-the-Presence-of-Treatment-Externalities.pdf,albendazole,adherence,78% of participants received at least some treatment in 1998. Approximately 72% received treatment in 1999. (Includes both albendazole and praziquantel treatment.),"Seventy-eight percent of those pupils assigned to receive treatment (i.e., girls under thirteen years old and all boys in the treatment schools) received at least some medical treatment through the program in 1998 (Table III).","A somewhat lower proportion of pupils in school took the medicine in 1999. Among girls younger than thirteen and boys who were enrolled in school for at least part of the 1999 school year, the overall treatment rate was approximately 72 percent (73 percent in Group 1 and 71 percent in Group 2 schools), suggesting that the process of selection into treatment was fairly similar in the two years despite the change in consent rules.",,,,False,169,165,,,,16 June Surge,,explicit,Test,"Correct, mostly extraction","78% of pupils assigned to receive treatment received at least some medical treatment through the program in 1998. Among girls younger than thirteen and boys who were enrolled in school for at least part of the 1999 school year, the overall treatment rate was approximately 72 percent.",Yes,0,Yes,No,"78% of participants assigned to treatment received at least some medical treatment in 1998. In 1999, the overall treatment rate was approximately 72%.",Correct,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
14,abebe-2018.pdf,https://github.com/brachbach/host-files/raw/main/abebe-2018.pdf,http://barrett.dyson.cornell.edu/NEUDC/paper_452.pdf,transport subsidy,adherence,50% of participants collected the transport subsidy at least once. 81% of those returned to collect it again. 74% who collected it at least once then collected it weekly over the course of the entire study.,"50% of individuals in the transport group collect the cash at least once. Of these, 81% return to collect the subsidy again. Those who collect the subsidies for at least two weeks tend to be dedicated users. Conditional on ever collecting the money, 74% of respondents take it at least once a week over the course of the entire study, with an average of 16 collections in total",,,,,False,15,,,,,16 June Surge,,explicit,Test,"correct, direct quote","50% of individuals in the transport group collect the cash at least once. Of these, 81% return to collect the subsidy again. Those who collect the subsidies for at least two weeks tend to be dedicated users. Conditional on ever collecting the money, 74% of respondents take it at least once a week over the course of the entire study, with an average of 16 collections in total.",Yes,0,Yes,Somewhat,"50% of individuals in the transport group collect the cash at least once. Of these, 81% return to collect the subsidy again. Those who collect the subsidies for at least two weeks tend to be dedicated users. Conditional on ever collecting the money, 74% of respondents take it at least once a week over the course of the entire study, with an average of 16 collections in total.","correct, direct quote",ICE,,,,checked,iterate,,GiveWell,,,,,,,,,,,,,,,,,checked,
69,deutschmann-2019.pdf,https://github.com/brachbach/host-files/raw/main/deutschmann-2019.pdf,https://conference.nber.org/conf_papers/f116692.pdf,1AF small farmer program,adherence,Adherence was not clearly discussed in the paper.,"Here we can look at difference between treatment and control groups in terms of the number of practices that they adopt. Figure 4 shows, within the primary sample, that treated farmers indeed adopt more of the recommended practices than do control farmers, although control farmers did already tend to adopt some of the same practices.
","As we saw in Section 4, the program does increase farmers’ adherence with recommended agronomic practices, suggesting that there may have been some information gaps at the baseline.",,,,True,1,6,,,,16 June Surge,,missing,Train,,,No,,N/A,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
104,keenan-2018.pdf,https://github.com/brachbach/host-files/raw/main/keenan-2018.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1715474?articleTools=true,Oral azithromycin for childhood mortality,adherence,Azithromycin was administered to 90% of participants.,"Azithromycin was administered to a mean (±SD) of 90.3±10.6% of the targeted population, and placebo was administered to 90.4±10.1% (see the Supplementary Appendix).",,,,,False,1,,,,,16 June Surge,,explicit,Test,correct,"90.3% of the targeted population received azithromycin, while 90.4% received placebo.",Yes,0,Yes,Somewhat,"90.3% of the targeted population received azithromycin, while 90.4% received placebo.",correct,ICE,,,,checked,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
55,chakravorty-bedy-2019.pdf,https://github.com/brachbach/host-files/raw/main/chakravorty-bedy-2019.pdf,https://link.springer.com/content/pdf/10.1007/s41027-019-00167-8.pdf,DDUGKY skills training programs,adherence,87% of those who started the course completed it.,"Our examination of the administrative records shows that while it is not negligible, the dropout rate is not particularly high and that 87% of those who start do complete.","A second source of concern is that not all participants complete the program. If only a select few complete the program, then evaluating program outcomes on the basis of comparisons between non-participants and participants who complete a program may lead to misleading inferences. Our examination of the administrative records shows that while it is not negligible, the dropout rate is not particularly high and that 87% of those who start do complete.",,,,False,181,181,,,,16 June Surge,,explicit,Train,,,Yes,0,Yes,,,,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
204,vittengl-2009.pdf,https://github.com/brachbach/host-files/raw/main/vittengl-2009.pdf,https://europepmc.org/articles/pmc3785229?pdf=render,Continuation-Phase Cognitive Therapy,adherence,"It seems that 2/41 participants in the treatment group attrited before remission, and an additional 4/41 attrited before recovery. However, it's not clear how to square these numbers with Figure 1.","Except for patients who attrited (5 before relapse or remission, 10 before relapse or recovery), all patients who  failed to achieve remission (6/6) and recovery (19/19) relapsed.","Attrition from C-CT and assessment control was similar before remission (2 and 3 patients, respectively; exact p = 1.0) and recovery (4 and 6 patients, respectively; exact p = .74).","10 Patientes Attrit
(quote_source: Figure 1)",,,False,4,4,8.0,,,16 June Surge,,explicit,Other,,,Yes,1,No,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
42,bassi-2018.pdf,https://github.com/brachbach/host-files/raw/main/bassi-2018.pdf,https://conference.nber.org/conf_papers/f109256.pdf,Non-cognitive skills certificate disclosure to job candidates and firms,adherence,"42% of scheduled job interviews took place. 49% of workers in the treatment group showed up to job interviews and received certificates, while 81% of them had received certificates by the second follow-up survey.","Starting from compliance, of the 1,230 scheduled job interviews, 515 (or 42%) actually took place.",All the Treatment workers who showed up to the job interviews were given the certificates (corresponding to 49% of Treatment workers).,So by the second follow-up survey about 81% of Treatment workers had received the certificate.4,,,False,10,3,14.0,,,16 June Surge,,explicit,Train,,,Yes,0,Yes,,,,ICE,,,,checked,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
94,idinsight-2020.pdf,https://github.com/brachbach/host-files/raw/main/idinsight-2020.pdf,https://files.givewell.org/files/DWDA%202009/NewIncentives/IDinsight_Impact_Evaluation_of_New_Incentives_Final_Report.pdf,Conditional cash transfers for routine immunization,adherence,76.91% of the treatment group reported receiving a cash incentive for vaccination.,"Has a child health card with NI-ABAE stamp Has an NI-ABAE card with at least one vaccine recorded Caregiver reports receiving cash incentives for vaccination N (%) N (%) N (%) Control (N = 2201) 2 (0.09%) 0 (0.00%) 9 (0.42%) Treatment (N = 2955) 1968 (66.59%) 1839 (62.22%) 2273 (76.91%)
(quote_source: Table 16)",,,,,False,,,,,,16 June Surge,,explicit,Other,,,Yes,1,No,,,,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
190,smithuis-2013.pdf,https://github.com/brachbach/host-files/raw/main/smithuis-2013.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3854704/pdf/1475-2875-12-363.pdf,Insecticide-treated bed nets,adherence,"Adherence is unclear, but it is stated to be ""generally good.""","Adherence with instructions for correct use of ITN was generally good, but as the benefits were small, incorrect use did not lead to more malaria.",,,,,False,4,,,,,16 June Surge,,missing,Other,,,?,,Yes,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
170,nyqvist-218.pdf,https://github.com/brachbach/host-files/raw/main/nyqvist-218.pdf,https://www.jakobsvensson.com/uploads/9/9/1/0/99107788/aejapp-2018.pdf,door-to-door mobile Community Health Promoters,adherence,"23% of households in the treatment group were visitied by a Community Health Promoter in the 30-day period before a survey, vs. 5.4% in the control group.",Column (i) shows that almost 23% of the households in the treatment clusters had been visited by a CHP in the 30 days preceding the survey. While there is evidence of spillovers–5.4% of the households in the control group have also been visited by a CHP– households in the treatment group were more than 4 times as likely to have benefited from such a visit.,,,,,False,20,,,,,16 June Surge,,explicit,Test,correct,23% of households in the treatment clusters had been visited by a CHP in the 30 days preceding the survey. 5.4% of households in the control group had also been visited by a CHP.,Yes,0,Yes,Somewhat,23% of households in the treatment group had been visited by a CHP in the 30 days preceding the survey. 5.4% of households in the control group had also been visited by a CHP.,correct,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
211,vuuren-cherney-2014.pdf,https://github.com/brachbach/host-files/raw/main/vuuren-cherney-2014.pdf,https://europepmc.org/articles/pmc4415876?pdf=render,virtual therapist (VT),adherence,8 of 8 participants in the treatment groups received virtual therapist treatment.,Eight participants were recruited and randomized to receive intensive computer-based script training differing in the amount of high or low cuing provided during treatment.,"Of the eight participants, six learned faster in the high cue condition. Indeed, gains supported findings from a post-treatment survey reported in [17] where 6 of 8 participants said they liked high cue treatment better.",,,,False,1,2,,,,16 June Surge,,implicit,Other,,,Yes,0,No,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
118,matangila-2015.pdf,https://github.com/brachbach/host-files/raw/main/matangila-2015.pdf,https://github.com/brachbach/host-files/raw/main/j.ijantimicag.2016.11.017.pdf,Sulfadoxine/pyrimethamine and piperaquine treatment,adherence,196 out of the original 202 remained for the treatment at month 4 and 181 out of the original 202 remained for the treatment at month 7.,(quote_source: Table 3),,,,,False,2,,,,,16 June Surge,,explicit,Other,,,Yes,1,No,,,,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
62,cheng-2020.pdf,https://github.com/brachbach/host-files/raw/main/cheng-2020.pdf,https://insightsimaging.springeropen.com/track/pdf/10.1186/s13244-020-00932-0,AI-based medical image learning system,adherence,4 participants dropped out before randomization; the remaining 30 completed the study.,"This study enrolled 34 medical students within the range of 22–32 years old who were randomly divided into the AIL and CL groups. Three of the students dropped out because they could not adhere to the evaluation schedule, and one could not complete the course. Therefore, a total of 30 students completed this study.","Table 1 Comparison between  AI-assisted learning and conventional groups AI-assisted learning group Conventional group p value Case number 15 15 Age (mean+SD) 24.00±1.60 24.67±3.13 0.471 Gender Male 9 10 0.740 Female 6 5 Pre-learning accuracy 75.73±10.58 75.86±11.36 0.974 Pre-learning sensitivity 77.33±18.15 72.53±15.37 0.441 Pre-learning specifcity 74.13±17.42 79.20±15.47 0.407 With AI accuracy 88.87±5.51 – With AI sensitivity 94.93±5.23 – With AI specifcity 82.80±10.50 – Post-learning accuracy 84.93±14.53 78.66±14.53 0.141 Post-learning sensitivity 86.40±6.42 75.47±22.10 0.084 Post-learning specifc‑ ity 83.47±14.03 81.87±14.27 0.759
(quote_source: Table 1)",,,,False,3,5,,,,16 June Surge,,explicit,Test,correct,"34 medical students were enrolled, but 3 dropped out and 1 could not complete the course, so a total of 30 students completed the study.",Yes,1,Yes,No,30 students completed the study.,Correct but not ideal format,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
27,agberotimi-2021.pdf,https://github.com/brachbach/host-files/raw/main/agberotimi-2021.pdf,https://www.ajol.info/index.php/rejhs/article/download/210152/198114,meaning-centred therapy (MCT),adherence,There is no mention of adherence rates.,"We recruited participants for the study from individuals attending the Drug Unit of a tertiary hospital in Ogbomoso, Nigeria. Only those that met the inclusion criteria of this study and are on the waiting list to commence treatment were purposively selected. All the potential participants were administered the study informed consent form, and those that willingly consented to participate were eventually selected. The informed consent contained all necessary information about the study, including the purpose, procedure, potential risks and benefits. Participants were randomly assigned into two groups – the experimental group which received 10-sessions of MCT, and the control group which did not receive any treatment in the study. The MCT was conducted by the lead researcher who is a trained clinical psychologist with training and core skills in meaning-centred therapy. The therapy was conducted following group therapy procedure.",,,,,True,,,,,,16 June Surge,,missing,Train,,,No,,N/A,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
34,awasthi-2013.pdf,https://github.com/brachbach/host-files/raw/main/awasthi-2013.pdf,https://github.com/brachbach/host-files/raw/main/S0140-6736%252812%252962125-4%20(1).pdf,6-monthly vitamin A supplementation with retinol for pre-school children,adherence,Estimated compliance with 6-monthly retinol supplements was 86%.,Estimated compliance with 6-monthly retinol supplements was 86%.,,,,,False,1470,,,,,16 June Surge,,explicit,Test,correct but just restating quote would have been better,86% of participants took the 6-monthly retinol supplements as prescribed.,Yes,0,Yes,Yes,86% of participants completed the intervention.,correct but rewording might be too strong,ICE,,,,checked,iterate,,,,,,,,,,,,,,,,,,,,
183,routledge-2006.pdf,https://github.com/brachbach/host-files/raw/main/routledge-2006.pdf,https://europepmc.org/articles/pmc1860755?pdf=render,"Sulphur dioxide exposure, carbon particle exposure",adherence,All 40 participants underwent the exposure treatments.,"Twenty patients with stable angina, multivessel coronary artery disease, and good left ventricular function (ejection fraction . 40%) were recruited from the waiting list for coronary artery bypass grafting. Medication was unchanged through the study period. Twenty healthy volunteers of a similar age were recruited from a local family practice.","Heart rate variability (HRV) and baroreflex sensitivity (BRS) for 20 healthy volunteers before and after exposures to air and pollutants
(quote_source: Table 2)","HRV and BRS for 20 patients with coronary artery disease before and after exposures to air and pollutants
(quote_source: Table 3)",,,False,221,222,222.0,,,16 June Surge,,implicit,Other,,,Yes,2,No,,,,ICE,,,,,iterate,,,,,,,,,,,,,,,,,,,,
3,abebe-2018.pdf,https://github.com/brachbach/host-files/raw/main/abebe-2018.pdf,http://barrett.dyson.cornell.edu/NEUDC/paper_452.pdf,job application workshop,blinding_participants_explicit,"Not blinded: only treatment participants received the intervention, no placebo","We randomly assigned geographic clusters to one of the treatment arms or the control group. To ensure balance, we created blocks of clusters with similar baseline observables and randomly assigned clusters within each block to the different treatment groups (Bruhn and McKenzie, 2009).30","Not all individuals in the clusters assigned to the transport intervention and job application workshop were offered treatment. Among those in the transport clusters, we implemented a randomised saturation design. We varied the proportion of sampled individuals who were offered treatment from 20% to 40%, 75% and 90%. In clusters assigned to the job application workshop we kept the level of saturation fixed at 80%. Having set cluster saturation levels, we assigned individuals within each cluster to a treatment or a control group. This was done by blocking individuals within clusters by their education level, and implementing a simple re-randomisation rule.",We did not inform study participants at baseline that some of them would be offered job search assistance.,,,False,,,,,,16 June Surge,,Not blinded,,,,,,,,,,ICE,,,,,iterate,,GiveWell,,,,,,,,,,,,,,,,,,
